1;IT / Интернет / Телеком;
36;Топ-менеджмент;
49;Банки / Инвестиции / Ценные бумаги;
67;Бухгалтерия / Аудит / Экономика предприятия;
88;Страхование;
102;Административный персонал;
122;HR / Кадры / Подбор персонала;
140;Консалтинг / Тренинги;
155;Охрана / Безопасность;
168;Юриспруденция;
187;Маркетинг / Реклама / PR;
210;Дизайн / Полиграфия;
229;СМИ / Издательства;
250;Культура / Искусство / Развлечения;
268;Образование / Наука;
284;Госслужба / Некоммерческие организации;
298;Торговля;
320;Производство / Агропром;
352;Строительство / ЖКХ / Эксплуатация;
394;Недвижимость / Риелторские услуги;
406;Транспорт / Автобизнес / Автосервис;
441;Логистика / Склад / ВЭД;
461;Красота / Фитнес / Спорт;
473;Медицина / Фармация / Ветеринария;
513;Рестораны / Питание;
531;Туризм / Гостиницы;
545;Бытовые услуги / Обслуживание оборудования;
563;Домашний персонал;
579;Работа без специальной подготовки / Без опыта;
601;Работа для студентов / Стажировки;
